sku,manufacturer_sku,ean,brand,product_type,title
"IT69289","GS7077BK","8021098003942","Braun","Quick Style Iron","Braun GS7077BK Quick Style 7 V/Iron B/C, Black "
"IT69486","IS5247VI","8021098003706","Braun","","Braun IS5247VI Steam Iron  System, Violet"
"IT69488","IS5245BL","8021098003690","Braun","","Braun IS5245BL Steam Iron System, 7 bar, Blue"
"IT73903","IS3255BL","8021098005496","Braun","","Braun IS3255BL Iron Care Style, 7 Bar, Blue "
"IT74508","GS3024BL ","8021098005724","Braun","","Braun GS3024BL Steamer Quick Style Pro , Blue "
"PAP-158255","158255","5017371142234","Cabana Sun","","Cabana Sun Original Carrot Oil Accelerates Tanning 200ml"
"PAP-158257","158257","5017371147406","Cabana Sun","","Cabana Sun CABANA Deep Tanning Oil Spray SPF6 - 200 ml"
"PAP-158260","158260","5017371147185","Cabana Sun","","Cabana Sun CABANA Deep Tanning Dry Oil Spray SPF6 - 200 ml"
"PAP-158261","158261","5017371138930","Cabana Sun","","Cabana Sun CABANA Deep Tanning Dry Oil Spray SPF15 - 200 ml"
"PAP-158262","158262","5017371142678","Cabana Sun","","Cabana Sun Deep Tanning SPF20 Dry Oil Spray Coconut Water Resistanse"
"POT-CK1133S-266-59-12","CK1133S-266-59-12","","Calvin Klein","Sunglasses","Calvin Klein CK1133S Aviators Sunglasses,Dark Red Translucent"
"POT-CK2079S-62-11","CK2079S-62-11","","Calvin Klein","Sunglasses","Calvin Klein CK2079S   Shield Sunglasses, Black"
"POT-CK2133S-096-62-11","CK2133S-096-62-11","","Calvin Klein","Sunglasses","Calvin Klein  CK2133S  Rimless Square Shield / Navigator Sunglasses,Silver Metal "
"POT-CK3052S-271-61-14","CK3052S-271-61-14","","Calvin Klein","Sunglasses","Calvin Klein CK3052S Wrap-Around Sunglasses, Light Champagne  "
"POT-CK3059S-283","CK3059S-283","","Calvin Klein","Sunglasses","Calvin Klein 3059S Slightly Rounded Sunglassses,Glossy Red"
"POT-CK3062S-000-63-11","CK3062S-000-63-11","","Calvin Klein","Sunglasses","Calvin Klein CK3062S Shield  Sunglasses, Crystal-Clear Translucent"
"POT-CK3062S-004-63-11","CK3062S-004-63-11","","Calvin Klein","Sunglasses","Calvin Klein CK3062S Aviator Sunglasses,Tortoiseshell"
"POT-CK4075S-297-125","CK4075S-297-125","","Calvin Klein","Sunglasses","Calvin Klein CK4075S Oversized / Round Oval Sunglasses,White-Black"
"POT-CK4076S-292","CK4076S-292","","Calvin Klein","Sunglasses","Calvin Klein CK4076S Rectabgular Sunglasses,Blue "
"POT-CK4076S-295","CK4076S-295","","Calvin Klein","Sunglasses","Calvin Klein CK4076S Soft Oval Sunglasses,Marble Grey"
"POT-CK7706S-055","CK7706S-055","","Calvin Klein","Sunglasses","Calvin Klein CK7706S Wrap Sunglasses, Green / Grey Tortoise"
"POT-CK839S-119","CK839S-119","","Calvin Klein","Sunglasses","Calvin Klein CK839S Rectangle Sunglasses, Cream"
"POT-CK920S-599","CK920S-599","","Calvin Klein","Sunglasses","Calvin Klein CK920S Shield / Wrap Sunglasses,Black"
"POT-CK926S-598","CK926S-598","","Calvin Klein","Sunglasses","Calvin Klein CK926S Shield Sunglasses,Brown Smoke Tortoiseshell"
"POT-CK977S-017","CK977S-017","","Calvin Klein","Sunglasses","Calvin Klein CK977S Rectangle Sunglasses,Dark Red"
"POT-CK977S-067","CK977S-067","","Calvin Klein","Sunglasses","Calvin Klein CK977S Rectangle Sunglasses, Dark Tortoise Shell"
"POT-CK978S-067","CK978S-067","","Calvin Klein","Sunglasses","Calvin Klein CK978S Square / Oversized Butterfly Sunglasses,Dark Brown Tortoiseshell"
"POT-CK981S-190","CK981S-190","","Calvin Klein","Sunglasses","Calvin Klein 981S Rectangle Sunglasses,TortoiseShell"
"POT-CK983S-042","CK983S-042","","Calvin Klein","Sunglasses","Calvin Klein CK983S Rectangle / Oval Sunglasses,Beige"
"CL-541XL","","","Canon","","Canon CL-541XL Genuine High Yield Inkjet Cartridge, Colour"
"LAG-CU300T23","CU300T23","5037258041153","Colibri","","Colibri Cutter V-Cut Blue Carbon Fiber Print"
"LAG-HU500T1","HU500T1","5037258000631","Colibri","","Colibri HU500T1 Humidor Heritage - Black"
"LAG-LC100CLBR","LC100CLBR","81287046943","Colibri","","Colibri Leather Case for Lighter Or Cutter (Brown-Large)"
